순번,요리분류,음식명,인분,출처,재료명1,코드1,용량1,재료명2,코드2,용량2,재료명3,코드3,용량3,재료명4,코드4,용량4,재료명5,코드5,용량5,재료명6,코드6,용량6,재료명7,코드7,용량7,재료명8,코드8,용량8,재료명9,코드9,용량9,재료명10,코드10,용량10,재료명11,코드11,용량11,재료명12,코드12,용량12,재료명13,코드13,용량13,재료명14,코드14,용량14,재료명15,코드15,용량15,재료명16,코드16,용량16,재료명17,코드17,용량17,재료명18,코드18,용량18,재료명19,코드19,용량19,재료명20,코드20,용량20
407,채소간단요리,양송이듁셀,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,양송이버섯,G0180000000a,1000.0,올리브유,N0170000009a,30.0,양파,F1320000000a,100.0,로즈마리,R0460000001a,2.0,소금,R0200000009a,2.0,오레가노,R0610000001a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,채소간단요리,아스파라거스볶음,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,아스파라거스,F1220000000a,356.0,닭육수,I0110000009a,10.0,휘핑크림,M0130050009a,50.0,우유,M0090000009a,50.0,파마산치즈,M0100070009a,50.0,버터,N0080000009a,20.0,헤이즐넛,E0010000001a,30.0,소금,R0200000009a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,채소간단요리,알감자구이,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,감자,B0010060000a,200.0,마늘,F053000B060a,30.0,로즈마리,R0460000001a,5.0,오레가노,R0610000001a,4.0,파슬리,F1930000000a,5.0,올리브유,N0170000009a,50.0,버터,N0080000009a,2.0,소금,R0200000009a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,채소간단요리,양파적포도주조림,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,양파,F1320000000a,300.0,적포도주,Q0160031849a,100.0,사과식초,R0220030009a,60.0,소금,R0200000009a,6.0,월계수잎,R048000B141a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,채소간단요리,적양배추적포도주조림,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,적양배추,F1290010000a,300.0,사과(부사),H0500020000a,100.0,적포도주,Q0160031849a,200.0,사과식초,R0220030009a,60.0,소금,R0200000009a,6.0,월계수잎,R048000B141a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,채소간단요리,바질페스토,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,백후추,R0410020005a,5.0,소금,R0200000009a,10.0,잣,E0230000000a,150.0,올리브유,N0170000009a,1000.0,마늘,F053000B060a,25.0,바질,F0800010000a,300.0,파슬리,F1930000000a,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,채소간단요리,강낭콩샐러드,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,강낭콩,D0010000000a,166.0,강낭콩,D0010000000a,16.7,파인애플,H0920000000a,16.7,양파,F1320000000a,10.0,피망,F196000C020a,10.0,프렌치드레싱,R0180050009a,33.0,소금,R0200000009a,1.0,흑후추,R0410010005a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,채소간단요리,강낭콩조림,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,강낭콩,D0010000000a,166.0,체다치즈,M0100040009a,11.3,올리브유,N0170000009a,66.7,올리브유,N0170000009a,33.3,닭육수,I0110000009a,8.3,파슬리,F1930000000a,3.3,양파,F1320000000a,83.3,소금,R0200000009a,1.0,흑후추,R0410010005a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,채소간단요리,마카로니샐러드,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,마카로니,A0240010001a,100.0,소고기맛조미료,R0310001905a,200.0,방울토마토,F1860010000a,10.0,양파,F1320000000a,20.0,피망,F196000C020a,10.0,파프리카,F194000C010a,10.0,프렌치드레싱,R0180050009a,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,채소간단요리,폴렌타,1,건강식감자요리/장수들의 비결 감자요리의 모든 것! 건강식 감자요리/행복에너지,옥수수가루,A0300000005a,40.0,우유,M0090000009a,50.0,휘핑크림,M0130050009a,10.0,버터,N0080000009a,10.0,파마산치즈,M0100070009a,30.0,크림치즈,M0100060009a,20.0,올리브유,N0170000009a,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,식사,치즈달걀프라이,1,더 쉽고 더 맛있게 고단백 저탄수화물 다이어트 레시피/위즈덤하우스,달걀,J0030000000a,110.0,시바새우,K6130130000a,50.0,양파,F1320000000a,40.0,깻잎,F049000B140a,8.0,모짜렐라치즈,M0100020009a,15.0,아보카도유,N0320000009a,5.0,파프리카가루,R0390000005a,2.0,흑후추,R0410010005a,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
