순번,요리분류,음식명,인분,출처,재료명1,코드1,용량1,재료명2,코드2,용량2,재료명3,코드3,용량3,재료명4,코드4,용량4,재료명5,코드5,용량5,재료명6,코드6,용량6,재료명7,코드7,용량7,재료명8,코드8,용량8,재료명9,코드9,용량9,재료명10,코드10,용량10,재료명11,코드11,용량11,재료명12,코드12,용량12,재료명13,코드13,용량13,재료명14,코드14,용량14,재료명15,코드15,용량15,재료명16,코드16,용량16,재료명17,코드17,용량17,재료명18,코드18,용량18,재료명19,코드19,용량19,재료명20,코드20,용량20
1,밥류,기장밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,85.0,기장,A003000A010a,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,밥류,김밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,56.0,단무지,F060000B09Ia,12.3,달걀,J0030000000a,11.5,시금치,F1150000000a,10.8,게맛살,K6030000009a,10.2,당근,F041000B090a,9.1,우엉,F1540000000a,7.6,햄,I0170020009a,3.8,참기름,N0200000009a,1.8,김,L0030010001a,1.7,소금,R0200000009a,0.6,흰깨,E0260020009n,0.3,콩기름,N0220000009a,0.2,,,,,,,,,,,,,,,,,,,,,
3,밥류,김치볶음밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,67.4,배추김치,F2050070009a,52.2,돼지고기등심,I014000D110a,11.3,콩기름,N0220000009a,3.0,대파,F1910040000a,1.7,참기름,N0200000009a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,밥류,누룽지,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,누룽지,A0130000089a,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,밥류,보리밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,85.0,보리,A025002A010a,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,밥류,볶음밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,44.2,양파,F1320000000a,12.9,당근,F041000B090a,9.0,달걀,J0030000000a,8.9,돼지고기등심,I014000D110a,8.5,햄,I0170020009a,4.2,콩기름,N0220000009a,2.7,쪽파,F1910030000a,1.6,소금,R0200000009a,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,밥류,비빔밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,104.5,달걀,J0030000000a,47.3,콩나물,F1820000000a,34.8,시금치,F1150000000a,33.3,소고기우둔살,I027004D260a,27.6,고사리(말린것),F0160000001a,22.3,당근,F041000B090a,18.1,고추장,R0050010009a,14.5,양조간장,R0010010009a,3.4,참기름,N0200000009a,3.4,콩기름,N0220000009a,3.1,쪽파,F1910030000a,0.9,마늘,F053000B060a,0.1,흰깨,E0260020009n,0.4,소금,R0200000009a,0.1,흑후추,R0410010005a,0.1,,,,,,,,,,,,
8,밥류,생선초밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,39.3,시바새우,K6130130000a,11.8,장어,K1530010000a,11.4,다랑어,K0390010000a,9.7,문어,K6110000000a,7.8,전복(통조림),K422000000Ta,7.0,설탕,C0110000005a,2.7,날치알,K025000D590a,2.4,사과식초,R0220030009a,2.3,고추냉이페이스트,R0510010009a,1.9,소금,R0200000009a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,밥류,쌀밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,밥류,완두콩밥,1,1회 분량으로 보는 소비자가 알기 쉬운 식품영양가표/(주) 교문사/㈜ 교문사,백미,A008000A030a,103.8,완두(생것),D0080000000a,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
